token,昵称,关注数,是否关注
zhang-jia-wei,张佳玮,2048034,False
imike,张亮,851712,False
tian-ji-shun,田吉顺,777049,False
ma-bo-yong,马伯庸,741165,False
zhouyuan,周源,946032,False
jixin,黄继新,869804,False
yolfilm,yolfilm,800615,False
lisanshui1230,李淼,791553,False
sizhuren,寺主人,776493,False
ding-xiang-yi-sheng,丁香医生,1766230,False
warfalcon,warfalcon,766241,False
knowyourself-1,KnowYourself,993833,False
excited-vczh,vczh,779743,False
kaifulee,李开复,1066869,False
zhu-xuan-86,朱炫,765590,False
zhang-xiao-bei,张小北,793107,False
